"x","y","status","PA1","PA2","PA3","PA4"
3900055.9233003,4358305.1328018,NA,TRUE,FALSE,FALSE,FALSE
666055.9233003,4341805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-76444.0766997002,4275805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-8029444.0766997,4259305.1328018,NA,TRUE,FALSE,FALSE,FALSE
963055.9233003,4259305.1328018,NA,FALSE,FALSE,FALSE,TRUE
5071555.9233003,4259305.1328018,NA,FALSE,TRUE,FALSE,FALSE
-9712444.0766997,4242805.1328018,NA,FALSE,FALSE,FALSE,TRUE
4114555.9233003,4242805.1328018,NA,TRUE,FALSE,FALSE,FALSE
2266555.9233003,4226305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-8920444.0766997,4209805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-8738944.0766997,4160305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-8128444.0766997,4160305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-8689444.0766997,4143805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-9646444.0766997,4127305.1328018,NA,TRUE,FALSE,FALSE,FALSE
3702055.9233003,4110805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-142444.0766997,4061305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-7270444.0766997,4011805.1328018,NA,FALSE,FALSE,TRUE,FALSE
4329055.9233003,3978805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-10471444.0766997,3912805.1328018,NA,FALSE,FALSE,TRUE,FALSE
3999055.9233003,3879805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-8342944.0766997,3863305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-587944.0766997,3863305.1328018,NA,FALSE,FALSE,FALSE,TRUE
-9002944.0766997,3846805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-8045944.0766997,3846805.1328018,NA,FALSE,FALSE,TRUE,FALSE
-802444.0766997,3830305.1328018,NA,TRUE,FALSE,FALSE,FALSE
303055.9233003,3813805.1328018,NA,TRUE,FALSE,FALSE,FALSE
1425055.9233003,3797305.1328018,NA,FALSE,FALSE,TRUE,FALSE
2068555.9233003,3797305.1328018,NA,FALSE,FALSE,FALSE,TRUE
4609555.9233003,3797305.1328018,NA,FALSE,TRUE,FALSE,FALSE
2926555.9233003,3780805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-9712444.0766997,3747805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-8771944.0766997,3731305.1328018,NA,FALSE,FALSE,TRUE,FALSE
3454555.9233003,3731305.1328018,NA,FALSE,TRUE,FALSE,FALSE
6804055.9233003,3714805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-9646444.0766997,3698305.1328018,NA,FALSE,FALSE,FALSE,TRUE
7035055.9233003,3681805.1328018,NA,FALSE,TRUE,FALSE,FALSE
1606555.9233003,3665305.1328018,NA,FALSE,TRUE,FALSE,FALSE
451555.9233003,3615805.1328018,NA,FALSE,FALSE,FALSE,TRUE
270055.9233003,3599305.1328018,NA,FALSE,FALSE,FALSE,TRUE
2943055.9233003,3582805.1328018,NA,FALSE,TRUE,FALSE,FALSE
666055.9233003,3549805.1328018,NA,FALSE,TRUE,FALSE,FALSE
4428055.9233003,3549805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-620944.0766997,3533305.1328018,NA,TRUE,FALSE,FALSE,FALSE
